page,num_users,page_views,year ,url,pkg_exists
catalogviewdoi1018739A20P0WQ7M,46,54,2020,https://arcticdata.io/catalog/view/doi:10.18739/A20P0WQ7M,
catalogviewdoi1018739A2JH3D23R,45,79,2020,https://arcticdata.io/catalog/view/doi:10.18739/A2JH3D23R,
catalogviewdoi1018739A2599Z216,43,59,2020,https://arcticdata.io/catalog/view/doi:10.18739/A2599Z216,
catalogviewdoi1018739A23R0PT35,43,108,2020,https://arcticdata.io/catalog/view/doi:10.18739/A23R0PT35,
catalogviewdoi1018739A2VC2G,41,58,2020,https://arcticdata.io/catalog/view/doi:10.18739/A2VC2G,
catalogviewdoi1018739A2KG55,40,60,2020,https://arcticdata.io/catalog/view/doi:10.18739/A2KG55,
catalogviewZG9pJTNBMT,38,38,2020,https://arcticdata.io/catalog/view/ZG9pJTNBMT,
catalogviewdoi1018739A2B56D46X,38,42,2020,https://arcticdata.io/catalog/view/doi:10.18739/A2B56D46X,
catalogviewdoi105065D66Q1VB7,38,97,2020,https://arcticdata.io/catalog/view/doi:10.5065/D66Q1VB7,
catalogviewdoi1018739A24X54G9W,36,52,2020,https://arcticdata.io/catalog/view/doi:10.18739/A24X54G9W,
catalogviewdoi1018739A22Z12P4J,36,81,2020,https://arcticdata.io/catalog/view/doi:10.18739/A22Z12P4J,
catalogviewdoi1018739A24M9198B,36,55,2020,,
catalogviewdoi1018739A2CR5NB9R,36,46,2020,,
catalogviewdXJuOnV1aW,36,36,2020,,
catalogviewurnuuid9f079e6619eb47e19bbd340f72b890c4,34,49,2020,,
catalogviewdoi1018739A2599Z26M,34,74,2020,,
catalogviewdoi1018739A2985M,33,64,2020,,
catalogviewdoi1018739A2G27V,32,39,2020,,
catalogviewdoi1018739A24X0Q,32,45,2020,,
catalogviewdoi105065D6N014HK,32,44,2020,,
catalogviewdoi1018739A2QR4NR5X,31,32,2020,,
catalogviewdoi1018739A2CD5M,31,43,2020,,
catalogviewdoi1018739A29G5GD77,31,54,2020,,
catalogviewdoi1018739A2VH5CJ92,30,30,2020,,
catalogviewdoi1018739A2CF9J745,30,37,2020,,
catalogviewdoi1018739A2FX73Z1F,30,41,2020,,
catalogviewdoi1018739A29P2W69D,29,41,2020,,
catalogviewdoi1018739A2901ZG3N,29,85,2020,,
catalogviewdoi1018739A21J9779S,28,53,2020,,
catalogviewdoi1018739A2RF5KF5N,28,40,2020,,
catalogviewdoi1018739A2FX73Z6V,28,48,2020,,
catalogviewdoi1018739A27S7HS5V,28,43,2020,,
catalogviewdoi1018739A2H70817C,27,30,2020,,
catalogviewdoi1018739A24X54G8D,27,49,2020,,
catalogviewdoi1018739A20863642,27,27,2020,,
catalogviewdoi1018739A2KW57J9Q,27,53,2020,,
catalogviewdoi1018739A2B56D49C,26,29,2020,,
catalogviewdoi1018739A2PC2T94T,26,43,2020,,
catalogviewdoi1018739A2F76672G,26,54,2020,,
catalogviewurnuuid8e068357985b4986993af36c98082609,25,67,2020,,
catalogviewdoi1018739A2RN3081R,25,50,2020,,
catalogviewdoi1018739A2M61BQ93,25,37,2020,,
