child_rm,parent_rm,parent_metadata_pid
resource_map_doi:10.18739/A27Z4H,resource_map_doi:10.18739/A24X54H4X,doi:10.18739/A24X54H4X
resource_map_doi:10.18739/A2QZ6M,resource_map_doi:10.18739/A24X54H4X,doi:10.18739/A24X54H4X
resource_map_doi:10.18739/A2M527,resource_map_doi:10.18739/A24X54H4X,doi:10.18739/A24X54H4X
resource_map_doi:10.18739/A2652H,resource_map_doi:10.18739/A24X54H4X,doi:10.18739/A24X54H4X
resource_map_doi:10.18739/A2N53X,resource_map_doi:10.18739/A24X54H4X,doi:10.18739/A24X54H4X
resource_map_doi:10.18739/A2XN84,resource_map_doi:10.18739/A24X54H4X,doi:10.18739/A24X54H4X
resource_map_doi:10.18739/A2CN7S,resource_map_doi:10.18739/A24X54H4X,doi:10.18739/A24X54H4X
resource_map_doi:10.18739/A2HC2C,resource_map_doi:10.18739/A24X54H4X,doi:10.18739/A24X54H4X
resource_map_doi:10.18739/A22B9N,resource_map_doi:10.18739/A24X54H4X,doi:10.18739/A24X54H4X
resource_map_doi:10.18739/A2VN74,resource_map_doi:10.18739/A24X54H4X,doi:10.18739/A24X54H4X
resource_map_doi:10.18739/A2BC3SX4R,resource_map_doi:10.18739/A26M3340D,doi:10.18739/A26M3340D
resource_map_urn:uuid:8706fa27-27b2-4d14-9e72-9693789ed6a0,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_urn:uuid:b48d378e-fa67-4d45-8a31-dd267f93ca95,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_urn:uuid:1718159f-2234-43a4-a927-b8e594c0ccaa,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_urn:uuid:0466817e-bb0e-44f5-a7fc-091ddec2631c,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A26J8K,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A23F90,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A29C14,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A2MR6M,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A2PJ8X,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A22V59,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A2TC1S,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A25J88,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A2WZ5S,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A2C80B,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A2G24Q,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A2H241,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A2F231,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A2Z229,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A2124P,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A2JV7D,resource_map_doi:10.18739/A26W9695B,doi:10.18739/A26W9695B
resource_map_doi:10.18739/A24K08,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A2QC27,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A20R8S,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A2FV7G,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A2B24G,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A2NK0X,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A2S82T,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A2GV6D,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A2R83W,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A23J91,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A2KJ9C,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A2MJ9P,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A27C1H,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A21R7Q,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A2C24S,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A2ZV74,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A2V244,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A2W24F,resource_map_doi:10.18739/A25X25D45,doi:10.18739/A25X25D45
resource_map_doi:10.18739/A2FF93,resource_map_doi:10.18739/A28P5V98P,doi:10.18739/A28P5V98P
resource_map_doi:10.18739/A2DF9S,resource_map_doi:10.18739/A28P5V98P,doi:10.18739/A28P5V98P
resource_map_doi:10.18739/A2JZ5P,resource_map_doi:10.18739/A28P5V98P,doi:10.18739/A28P5V98P
resource_map_doi:10.18739/A2183C,resource_map_doi:10.18739/A28P5V98P,doi:10.18739/A28P5V98P
resource_map_doi:10.18739/A2WK1G,resource_map_doi:10.18739/A29P2W68X,doi:10.18739/A29P2W68X
resource_map_doi:10.18739/A24C2Z,resource_map_doi:10.18739/A29P2W68X,doi:10.18739/A29P2W68X
resource_map_doi:10.18739/A22C1Z,resource_map_doi:10.18739/A29P2W68X,doi:10.18739/A29P2W68X
resource_map_doi:10.18739/A2VV76,resource_map_doi:10.18739/A29P2W68X,doi:10.18739/A29P2W68X
resource_map_doi:10.18739/A20N94,resource_map_doi:10.18739/A29P2W68X,doi:10.18739/A29P2W68X
resource_map_doi:10.18739/A2Q26N,resource_map_doi:10.18739/A29P2W68X,doi:10.18739/A29P2W68X
resource_map_doi:10.18739/A29K16,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A2PK1M,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A2Z23P,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A2HV6Q,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A2DJ9T,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A2TC3J,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A2D56W,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A25259,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A2JW03,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A29S0W,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A2FK2T,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A28V89,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A2BC4K,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A2GV9J,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A28C1T,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A25K0K,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A29C3W,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A29C2H,resource_map_doi:10.18739/A2CF9J726,doi:10.18739/A2CF9J726
resource_map_doi:10.18739/A2P56C,resource_map_doi:10.18739/A2BN9X393,doi:10.18739/A2BN9X393
resource_map_doi:10.18739/A2XG1R,resource_map_doi:10.18739/A2BN9X393,doi:10.18739/A2BN9X393
resource_map_doi:10.18739/A2XR7S,resource_map_doi:10.18739/A2BN9X393,doi:10.18739/A2BN9X393
resource_map_doi:10.18739/A20J93,resource_map_doi:10.18739/A2BN9X393,doi:10.18739/A2BN9X393
resource_map_doi:10.18739/A2Q54X,resource_map_doi:10.18739/A2BN9X393,doi:10.18739/A2BN9X393
resource_map_doi:10.18739/A22K11,resource_map_doi:10.18739/A2BN9X393,doi:10.18739/A2BN9X393
