child_rm,parent_rm,parent_metadata_pid
resource_map_doi:10.18739/A24X54H4X,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2154DQ03,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2H70816W,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A23X83M55,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2RR1PN4P,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2PZ51N0V,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2251FK97,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2M25B,resource_map_doi:10.18739/A2XD0QZ4V,doi:10.18739/A2XD0QZ4V
resource_map_doi:10.18739/A22240,resource_map_doi:10.18739/A2XD0QZ4V,doi:10.18739/A2XD0QZ4V
resource_map_doi:10.18739/A2TK0G,resource_map_doi:10.18739/A2XD0QZ4V,doi:10.18739/A2XD0QZ4V
resource_map_doi:10.18739/A2XC0B,resource_map_doi:10.18739/A2XD0QZ4V,doi:10.18739/A2XD0QZ4V
resource_map_doi:10.18739/A2VJ9V,resource_map_doi:10.18739/A2XD0QZ4V,doi:10.18739/A2XD0QZ4V
resource_map_doi:10.18739/A2SJ97,resource_map_doi:10.18739/A2XD0QZ4V,doi:10.18739/A2XD0QZ4V
resource_map_doi:10.18739/A2QR7X,resource_map_doi:10.18739/A2XD0QZ4V,doi:10.18739/A2XD0QZ4V
resource_map_doi:10.18739/A2325P,resource_map_doi:10.18739/A2XD0QZ4V,doi:10.18739/A2XD0QZ4V
resource_map_doi:10.18739/A2Z83R,resource_map_doi:10.18739/A2XD0QZ4V,doi:10.18739/A2XD0QZ4V
resource_map_doi:10.18739/A2523J,resource_map_doi:10.18739/A2ZC7RV51,doi:10.18739/A2ZC7RV51
resource_map_doi:10.18739/A28R6H,resource_map_doi:10.18739/A2ZC7RV51,doi:10.18739/A2ZC7RV51
resource_map_doi:10.18739/A2DJ72,resource_map_doi:10.18739/A2ZC7RV51,doi:10.18739/A2ZC7RV51
resource_map_doi:10.18739/A21C08,resource_map_doi:10.18739/A2ZC7RV51,doi:10.18739/A2ZC7RV51
resource_map_doi:10.18739/A2696ZZ6F,resource_map_doi:10.18739/A2930NW0H,doi:10.18739/A2930NW0H
