"","identifier","valueURI","attributeName","attributeDefinition"
"86","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"87","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
"88","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA1","Soil Moisture Probe Hydra Signal #1, mV"
"89","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"90","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
"91","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA1","Soil Moisture Probe Hydra Signal #1, mV"
"92","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"93","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
"94","doi:10.18739/A24B2X49X","http://www.purl.dataone.org/odo/ECSO_00010114","thaw1","thaw depth measured near collar a"
"95","doi:10.18739/A24B2X49X","http://www.purl.dataone.org/odo/ECSO_00010114","thaw2","thaw depth measured near collar b"
"96","doi:10.18739/A24B2X49X","http://www.purl.dataone.org/odo/ECSO_00010114","meanthaw","mean of thaw1 and thaw2"
"97","doi:10.18739/A29G5GD6R","http://www.purl.dataone.org/odo/ECSO_00010114","Thaw Depth","Thaw depths indicate the
distance from the surface to the depth of the permafrost"
"98","doi:10.18739/A2CC0TT3H","http://www.purl.dataone.org/odo/ECSO_00010114","TD","Depth of thaw in cm"
"99","doi:10.18739/A2CC0TT3H","http://www.purl.dataone.org/odo/ECSO_00010076","NDVI","Normalized difference vegetation index"
"100","doi:10.18739/A2G15TB43","http://www.purl.dataone.org/odo/ECSO_00010114","Thaw_Depth","Depth of thaw"
"101","doi:10.18739/A2G15TB43","http://www.purl.dataone.org/odo/ECSO_00010114","Thaw_depth","depth of thaw"
"102","doi:10.18739/A2M61BQ8M","http://www.purl.dataone.org/odo/ECSO_00010114","Thaw depth","Thaw depth measured using a 1-m steel probe"
"103","doi:10.18739/A2M61BQ8M","http://www.purl.dataone.org/odo/ECSO_00010114","Thaw depth","Thaw depth measured using a 1-m steel probe"
"104","doi:10.18739/A2QN5ZB5M","http://www.purl.dataone.org/odo/ECSO_00010114","TD1","First measurement of thaw depth at point. The value means depth from soil surface to frozen ground level"
"105","doi:10.18739/A2QN5ZB5M","http://www.purl.dataone.org/odo/ECSO_00010114","TD2","Second measurement of thaw depth at point. The value means depth from soil surface to frozen ground level"
"106","doi:10.18739/A2QN5ZB5M","http://www.purl.dataone.org/odo/ECSO_00010114","TD3","Third measurement of thaw depth at point. The value means depth from soil surface to frozen ground level"
"107","doi:10.18739/A2QN5ZB5M","http://www.purl.dataone.org/odo/ECSO_00010114","TD1","First measurement of thaw depth at point. The value means depth from soil surface to frozen ground level"
"108","doi:10.18739/A2QN5ZB5M","http://www.purl.dataone.org/odo/ECSO_00010114","TD2","Second measurement of thaw depth at point. The value means depth from soil surface to frozen ground level"
"109","doi:10.18739/A2QN5ZB5M","http://www.purl.dataone.org/odo/ECSO_00010114","TD3","Third measurement of thaw depth at point. The value means depth from soil surface to frozen ground level"
"110","doi:10.18739/A2TQ5RD9K","http://www.purl.dataone.org/odo/ECSO_00010114","Thaw_depth","For the thawed samples, Total = Live + Thick"
