metadataPID,num_datasets
doi:10.18739/A2WH2DF1F,38
doi:10.18739/A2WP9T74J,8
doi:10.18739/A2TM72225,9
doi:10.18739/A2TB0XV89,1
doi:10.18739/A2TD9N813,3
doi:10.18739/A2V40JZ6C,8
doi:10.18739/A2V698C90,1
doi:10.18739/A2VD6P488,2
doi:10.18739/A2VD6P54S,1
doi:10.18739/A2VQ2S99T,56
doi:10.18739/A2W08WG7P,26
doi:10.18739/A2W37KW4J,76
doi:10.18739/A2W37KW2K,3
doi:10.18739/A2X05XD00,10
doi:10.18739/A2XG9FB90,44
doi:10.18739/A2XK84Q8C,5
doi:10.18739/A2XS5JH8K,197
doi:10.18739/A2Z02Z80S,2
doi:10.18739/A2ZC7RV13,3
doi:10.18739/A2ZS2KC8C,2
doi:10.18739/A2DF6K36X,6
doi:10.18739/A2251FK3B,9
doi:10.18739/A2BK16Q5T,28
doi:10.18739/A2GB1XH9K,61
doi:10.18739/A2M32NB3B,7
doi:10.18739/A2P843X00,2
doi:10.18739/A2QV3C48N,2
doi:10.18739/A23B5W84Q,2
doi:10.18739/A23X83M6N,2
doi:10.18739/A2057CT2T,2
doi:10.18739/A20R9M41W,3
doi:10.18739/A22Z12Q6Z,2
doi:10.18739/A2154DQ1K,2
doi:10.18739/A27P8TD4H,7
doi:10.18739/A27P8TF01,2
doi:10.18739/A26Q1SJ0B,2
doi:10.18739/A2599Z216,9
doi:10.18739/A2542J86Z,7
doi:10.18739/A2707WP54,2
doi:10.18739/A28W3830D,7
doi:10.18739/A28W3833V,9
doi:10.18739/A2930NW0H,5
doi:10.18739/A2CC0TT7F,6
doi:10.18739/A2CF9J73P,2
doi:10.18739/A2BG2HB4G,2
doi:10.18739/A2BK16Q4B,9
doi:10.18739/A2BR8MG9Z,2
doi:10.18739/A2GH9B946,2
doi:10.18739/A2D79598P,2
doi:10.18739/A2DN3ZW57,7
doi:10.18739/A2DN3ZW76,75
doi:10.18739/A2F76670H,6
doi:10.18739/A2FB4WM3F,14
doi:10.18739/A2FJ29C5J,3
doi:10.18739/A2FJ29D4H,31
doi:10.18739/A2G737474,1
doi:10.18739/A2KW57K0T,1
doi:10.18739/A2H41JM84,1
doi:10.18739/A2H41JN54,2
doi:10.18739/A2HT2GB80,12
doi:10.18739/A2J38KJ1W,15
doi:10.18739/A2JQ0SV9F,7
doi:10.18739/A2K931694,4
doi:10.18739/A2K35MD7K,14
doi:10.18739/A2N873054,1
doi:10.18739/A2M32NB2V,20
doi:10.18739/A2MW28F8G,2
doi:10.18739/A2SB3WZ63,8
doi:10.18739/A2P843W5Z,1
doi:10.18739/A2PV6B711,14
doi:10.18739/A2RN30827,2
doi:10.18739/A2RF5KG0P,21
doi:10.18739/A2Q23R13H,4
doi:10.18739/A2QN5ZC33,1
doi:10.18739/A2QV3C475,3
doi:10.18739/A2WD3Q260,2
doi:10.18739/A2T14TQ0T,1
doi:10.18739/A2TD9N870,1
doi:10.18739/A2TT4FT7X,4
doi:10.18739/A2VD6P577,1
doi:10.18739/A2X34MS1B,24
doi:10.18739/A2XS5JH54,1
doi:10.18739/A2Z60C249,30
doi:10.18739/A2Z60C319,2
doi:10.18739/A2ZC7RV6H,48
doi:10.18739/A2ZK55N06,2
doi:10.18739/A25Q4RM6J,1
doi:10.18739/A2348GG12,10
doi:10.18739/A2BZ6178M,2
doi:10.18739/A2BZ61825,2
doi:10.18739/A2C824D80,2
doi:10.18739/A2GQ6R21H,2
doi:10.18739/A2DB7VQ74,3
doi:10.18739/A2FQ9Q52R,4
doi:10.18739/A2FX73Z7B,7
doi:10.18739/A2KH0DZ5J,1
doi:10.18739/A2WD3Q23J,10
doi:10.18739/A2V11VK4J,3
doi:10.18739/A2VQ2SB5B,9
doi:10.18739/A2X921K1X,1
doi:10.18739/A20000151,7
doi:10.18739/A2CF9J637,11
doi:10.18739/A2DZ0322N,58
doi:10.18739/A2G44HR3X,60
doi:10.18739/A2PG1HN9N,12
doi:10.18739/A2PK4R,3
doi:10.18739/A2R20RW3W,400
doi:10.18739/A26D5PB4R,1
doi:10.18739/A2CC0TT40,33
doi:10.18739/A2CF9J66P,43
doi:10.18739/A22J68504,1
doi:10.18739/A21V5BF0Z,21
doi:10.18739/A2F18SF5B,8
doi:10.18739/A2KP7TS1Q,30
doi:10.18739/A2NC5SD2M,1
doi:10.18739/A2QF8JK5V,1
doi:10.18739/A2X921J5D,4
doi:10.18739/A2S46H68Q,7
doi:10.18739/A2N873105,1
doi:10.18739/A2Q814S37,2
doi:10.18739/A2V11VK6H,2
doi:10.18739/A20863604,3
doi:10.18739/A2183432B,4
doi:10.18739/A27S7HS9S,5
doi:10.18739/A2416T05C,4
doi:10.18739/A2513TW6P,4
doi:10.18739/A28S4JQ04,2
doi:10.18739/A2CJ87M3J,3
doi:10.18739/A2GB1XH7M,4
doi:10.18739/A2FB4WM7C,4
doi:10.18739/A2H98ZD6T,5
doi:10.18739/A2K35MF14,2
doi:10.18739/A2N00ZT88,5
doi:10.18739/A2M32NB0W,3
doi:10.18739/A2PV6B74G,4
doi:10.18739/A2RR1PN17,2
doi:10.18739/A2QR4NR2G,6
doi:10.18739/A2WH2DF6V,4
doi:10.18739/A2TH8BN6C,4
doi:10.18739/A2VH5CJ54,5
doi:10.18739/A2Z892F91,5
doi:10.18739/A2QB9V561,1
doi:10.18739/A2X34MS0V,103
doi:10.18739/A2C53F20Q,2
doi:10.18739/A2R20RW89,55
doi:10.18739/A2TM7216N,25
doi:10.18739/A2V97ZS31,1
doi:10.18739/A28911Q99,7
doi:10.18739/A2280504J,5
